Data,Open,High,Low,Close,Volume,Market Cap
15/05/2018,"0,131696","0,144959","0,126893","0,132444",14.435,2.875.650
14/05/2018,"0,132496","0,149773","0,123960","0,131899",24.536,2.876.500
13/05/2018,"0,133305","0,142634","0,126978","0,132505",14.520,2.805.370
12/05/2018,"0,122646","0,140066","0,120229","0,133352",13.254,2.565.680
11/05/2018,"0,122070","0,134611","0,117580","0,123008",19.924,2.538.290
10/05/2018,"0,117956","0,140757","0,072978","0,121924",16.672,2.437.540
09/05/2018,"0,134842","0,146463","0,118957","0,145960",13.425,2.768.930
08/05/2018,"0,150151","0,163425","0,131453","0,135048",11.764,3.063.590
07/05/2018,"0,152305","0,168093","0,142663","0,149833",11.734,3.087.580
06/05/2018,"0,161386","0,175411","0,135047","0,152196",25.964,3.250.260
05/05/2018,"0,162533","0,165292","0,143113","0,161277",10.603,3.252.460
04/05/2018,"0,113418","0,166340","0,101242","0,162587",19.772,2.255.430
03/05/2018,"0,161959","0,177797","0,116892","0,117012",30.356,3.200.460
02/05/2018,"0,168547","0,179306","0,159049","0,161954",23.449,3.309.490
01/05/2018,"0,176485","0,187184","0,157022","0,168801",24.318,3.443.190
30/04/2018,"0,179123","0,183119","0,158377","0,182969",25.454,3.472.330
29/04/2018,"0,179687","0,192092","0,158530","0,179183",27.533,3.460.640
28/04/2018,"0,189340","0,210716","0,179436","0,179753",22.008,3.622.750
27/04/2018,"0,176965","0,216006","0,169438","0,189994",49.780,3.363.930
26/04/2018,"0,168259","0,184784","0,156138","0,184362",47.246,3.177.390
25/04/2018,"0,180480","0,187231","0,160271","0,166697",17.877,3.385.470
24/04/2018,"0,179391","0,196806","0,174851","0,181715",28.057,3.342.570
23/04/2018,"0,184275","0,185872","0,169250","0,179239",14.453,3.410.440
22/04/2018,"0,164865","0,195118","0,163517","0,184647",17.599,3.025.100
21/04/2018,"0,166956","0,217511","0,161354","0,164865",13.760,3.034.970
20/04/2018,"0,166129","0,176564","0,154033","0,166899",30.361,2.991.440
19/04/2018,"0,151860","0,166920","0,148070","0,166023",20.209,2.708.290
18/04/2018,"0,139599","0,158603","0,139456","0,151747",13.368,2.466.310
17/04/2018,"0,134287","0,149728","0,133919","0,139470",17.647,2.349.440
16/04/2018,"0,155651","0,156176","0,132478","0,134220",15.610,2.696.460
15/04/2018,"0,131976","0,156079","0,131976","0,155717",24.876,2.263.660
14/04/2018,"0,131807","0,146505","0,130528","0,131834",11.362,2.238.190
13/04/2018,"0,141916","0,151929","0,130650","0,131807",12.935,2.385.050
12/04/2018,"0,126176","0,151542","0,125857","0,141737",15.526,2.098.480
11/04/2018,"0,119887","0,137785","0,113656","0,126094",21.012,1.973.410
10/04/2018,"0,108774","0,122945","0,104758","0,119772",18.752,1.771.930
09/04/2018,"0,112381","0,121974","0,103248","0,108684",11.454,1.811.350
08/04/2018,"0,118005","0,120297","0,110514","0,112199",6.298,1.881.660
07/04/2018,"0,102884","0,121600","0,102732","0,117898",27.628,1.622.850
06/04/2018,"0,109923","0,119824","0,097067","0,102762",14.779,1.715.020
05/04/2018,"0,114272","0,116323","0,107466","0,110486",15.311,1.762.930
04/04/2018,"0,127429","0,138693","0,113775","0,114224",8.857,1.944.710
03/04/2018,"0,135398","0,142512","0,122919","0,127512",15.108,2.043.140
02/04/2018,"0,120388","0,151614","0,119624","0,135302",8.333,1.796.050
01/04/2018,"0,136472","0,138204","0,107763","0,119819",2.138,2.012.640
31/03/2018,"0,156473","0,426354","0,117190","0,136477",57.994,2.280.810
30/03/2018,"0,135330","0,157089","0,109147","0,156449",14.038,1.949.400
29/03/2018,"0,149322","0,151013","0,123518","0,135665",18.767,2.125.300
